"filename", "language", "JSON", "Markdown", "PostCSS", "JSON with Comments", "Batch", "Python", "JavaScript", "HTML", "sqlite3-editor-database", "pip requirements", "Ini", "C++", "TypeScript", "TypeScript JSX", "CMake", "comment", "blank", "total"
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-backend\slot_config.py", "Python", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 48
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\README.md", "Markdown", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 162
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\package-lock.json", "JSON", 2750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2751
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\package.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 0, 13, 25, 250
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\components\Bowl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 17, 36, 267
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 10, 132
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\components\SlotRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 4, 12, 123
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\components\SpiceCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 5, 11, 158
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\hooks\slotAudio.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 8, 45
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\hooks\useDebounce.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\hooks\useDispenseStream.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 35, 278
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\index.css", "PostCSS", 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 27, 243
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\screens\CompleteScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 5, 15, 186
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\screens\CustomRecipeScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 716, 0, 23, 47, 786
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\screens\DispensingScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 5, 15, 176
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\screens\IdleScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 513, 0, 28, 47, 588
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\screens\ResultsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 7, 48
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\screens\SearchScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 346, 0, 6, 30, 382
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\screens\ServingScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 13, 20, 276
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\screens\lib\api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\slotConfig.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 5, 39
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\types\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 2, 15, 130
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 36
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\tsconfig.app.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\starl\Documents\GitHub\Bland2Grand\bland2grand-frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 2, 31
"c:\Users\starl\Documents\GitHub\Bland2Grand\generate_slots.py", "Python", 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 38, 362
"c:\Users\starl\Documents\GitHub\Bland2Grand\spice_slots.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 54
"Total", "-", 2878, 531, 957, 1437, 25, 1461, 1709, 198, 543, 4, 11, 2684, 510, 2987, 1, 943, 1695, 18574
